job_id,cv_id,rank_for_job,tfidf_score,semantic_score,skill_score,experience_score,bm25_score,skill_jaccard_score,must_have_coverage,nice_to_have_coverage,matched_required_skills,missing_critical_skills,matched_optional_skills,missing_optional_skills,cv_years_experience,job_min_years_experience,fusion_minmax_normalized_v1,final_score_v1,final_score_raw,score_check,final_score,score_diff,score_warning,final_score_v2_bm25,cv_quality_score,source,learned_fusion_score,score
vanetik_vacancy_001,vanetik_cv_038,1,0.0912797387416252,0.0,0.6,1.0,0.7601194616991708,0.42857142857142855,0.6,0.0,agile;javascript;scrum,angular;csharp,,,5.0,5.0,0.813797934053175,0.3876121670147213,0.3876121670147213,0.3876121670147213,0.3876121670147213,0.0,,0.5264584360336539,0.45,vacancy_resume_matching,0.20879279,0.8017162918193633
vanetik_vacancy_001,vanetik_cv_004,2,0.08461328849935702,0.0,0.8,0.0,0.939139000508913,0.3076923076923077,0.8,0.0,agile;angular;javascript;scrum,csharp,,,0.0,5.0,0.700339692471148,0.2917148476535,0.2917148476535,0.2917148476535,0.2917148476535,0.0,,0.49197482963549577,0.7999999999999999,vacancy_resume_matching,0.39074907,0.7601711621416589
vanetik_vacancy_001,vanetik_cv_014,3,0.11121951319324311,0.0,0.4,0.0,1.0,0.2,0.4,0.0,csharp;javascript,agile;angular;scrum,,,0.0,5.0,0.6923076923076923,0.18296435325790014,0.18296435325790014,0.18296435325790014,0.18296435325790014,0.0,,0.41040650439774773,0.7,vacancy_resume_matching,0.3599401,0.7333333333333334
vanetik_vacancy_001,vanetik_cv_025,4,0.09398299847221121,0.0,0.6,0.0,0.7337079643379468,0.21428571428571427,0.6,0.0,angular;csharp;javascript,agile;scrum,,,0.0,5.0,0.6747668670648909,0.2352216145619599,0.2352216145619599,0.2352216145619599,0.2352216145619599,0.0,,0.38698312331418955,0.7,vacancy_resume_matching,0.38396868,0.6705111367683848
vanetik_vacancy_001,vanetik_cv_015,5,0.04629323890714963,0.0,0.8,1.0,0.4362164537014071,0.4,0.8,0.0,agile;angular;javascript;scrum,csharp,,,8.0,5.0,0.6441746303460735,0.42492712864231136,0.42492712864231136,0.42492712864231136,0.42492712864231136,0.0,,0.4784221339560918,0.6,vacancy_resume_matching,0.22756736,0.6293848731060397
vanetik_vacancy_001,vanetik_cv_052,6,0.05952991625275829,0.0,0.6,1.0,0.48731909319470335,0.21428571428571427,0.6,0.0,agile;csharp;javascript,angular;scrum,,,10.0,5.0,0.6397945363875954,0.3705161087514852,0.3705161087514852,0.3705161087514852,0.3705161087514852,0.0,,0.4431283969361736,0.7666666666666666,vacancy_resume_matching,0.21566443,0.6212531378537656
vanetik_vacancy_001,vanetik_cv_047,7,0.10343561697732583,0.0,0.2,0.0,0.9226549771059097,0.1,0.2,0.0,csharp,agile;angular;javascript;scrum,,,0.0,5.0,0.5727253410179387,0.11723456298779084,0.11723456298779084,0.11723456298779084,0.11723456298779084,0.0,,0.3338531995540179,0.8,vacancy_resume_matching,0.34848556,0.6196332050012522
vanetik_vacancy_001,vanetik_cv_007,8,0.07116935495498249,0.0,0.6,0.4,0.5419444738254756,0.23076923076923078,0.6,0.0,agile;csharp;javascript,angular;scrum,,,2.0,5.0,0.6112762363455584,0.28447580651422133,0.28447580651422133,0.28447580651422133,0.28447580651422133,0.0,,0.38157497800512097,0.7999999999999999,vacancy_resume_matching,0.31304577,0.5953085774245201
vanetik_vacancy_001,vanetik_cv_049,9,0.05646759874590967,0.0,0.4,1.0,0.5673155771874255,0.16666666666666666,0.4,0.0,agile;javascript,angular;csharp;scrum,,,20.0,5.0,0.5460885734780129,0.3073287070170283,0.3073287070170283,0.3073287070170283,0.3073287070170283,0.0,,0.41010668683195006,0.6,vacancy_resume_matching,0.20329358,0.5655294613077977
vanetik_vacancy_001,vanetik_cv_011,10,0.08904069032321905,0.0,0.4,0.0,0.6226099879028546,0.25,0.4,0.0,agile;csharp,angular;javascript;scrum,,,0.0,5.0,0.570757704525541,0.17102191017404103,0.17102191017404103,0.17102191017404103,0.17102191017404103,0.0,,0.3023762268818343,0.4,vacancy_resume_matching,0.37349227,0.5574507662422866
vanetik_vacancy_002,vanetik_cv_049,1,0.07169727550344593,0.0,1.0,1.0,0.7155639947542135,0.5555555555555556,1.0,0.0,java;javascript;linux;postgresql;python,,,,20.0,3.0,0.765448724901506,0.5001446868095478,0.5001446868095478,0.5001446868095478,0.5001446868095478,0.0,,0.6147161571022722,0.6,vacancy_resume_matching,0.23096642,0.7789519902068177
vanetik_vacancy_002,vanetik_cv_038,2,0.11249431588373496,0.0,0.2,1.0,0.8879432972286677,0.1111111111111111,0.2,0.0,javascript,java;linux;postgresql;python,,,5.0,3.0,0.7265672077853178,0.2759584777835496,0.2759584777835496,0.2759584777835496,0.2759584777835496,0.0,,0.46094965122222303,0.45,vacancy_resume_matching,0.18623315,0.7398979126518891
vanetik_vacancy_002,vanetik_cv_031,3,0.07328605385252457,0.0,0.8,1.0,0.6314076241390983,0.2857142857142857,0.8,0.0,java;javascript;linux;postgresql,python,,,3.0,3.0,0.7119821672479457,0.43946172130520555,0.43946172130520555,0.43946172130520555,0.43946172130520555,0.0,,0.5394707177212678,0.7333333333333333,vacancy_resume_matching,0.22248991,0.7081738509239164
